antiguedad_empleo,tasa_interes,porcentaje_ingreso,edad,ingreso_anual,monto_prestamo,incumplimiento,historial_crediticio_anios,tenencia_vivienda_OTHER,tenencia_vivienda_OWN,tenencia_vivienda_RENT,motivo_prestamo_EDUCATION,motivo_prestamo_HOMEIMPROVEMENT,motivo_prestamo_MEDICAL,motivo_prestamo_PERSONAL,motivo_prestamo_VENTURE,calificacion_prestamo_B,calificacion_prestamo_C,calificacion_prestamo_D,calificacion_prestamo_E,calificacion_prestamo_F,calificacion_prestamo_G,incumplimiento_previo_Y
9.0,16.77,0.25,25,137000,29800,0,2,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True
4.0,17.58,0.5,22,65000,29800,1,4,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
0.0,7.29,0.14,24,14400,1500,0,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,14.54,0.42,22,80000,29800,1,4,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
8.0,12.68,0.49,24,67746,29800,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
3.0,17.74,0.42,21,14400,4575,1,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
0.0,9.32,0.13,23,14400,1400,0,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
6.0,9.99,0.5,24,65000,29800,1,3,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
5.0,12.84,0.35,21,14400,4000,1,2,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
5.0,11.12,0.17,21,14400,2000,1,3,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
2.0,6.62,0.27,25,120000,29800,0,2,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
7.0,14.17,0.33,26,95000,29800,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True
2.0,13.85,0.08,25,225000,24250,0,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10.0,13.49,0.03,26,225000,7800,0,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
5.0,7.51,0.21,21,14400,2500,1,4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1.0,18.39,0.5,22,48000,29800,1,2,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
8.0,14.54,0.47,24,64000,29800,1,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
4.0,16.89,0.4,25,75000,29800,1,4,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
3.0,13.8335,0.42,23,71500,29800,1,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
6.0,17.99,0.41,26,62050,29800,1,2,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
4.0,12.69,0.21,24,14400,2500,1,3,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
10.0,7.88,0.07,26,225000,20000,0,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1.0,18.39,0.08,23,225000,24250,0,2,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True
9.0,10.38,0.03,26,225000,10000,0,4,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
0.0,15.33,0.08,26,225000,25000,0,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
9.0,16.45,0.06,25,225000,18000,0,3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
8.0,7.49,0.37,26,80690,29800,1,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
4.0,12.69,0.38,22,66300,29800,1,3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0.0,6.62,0.34,26,89028,29800,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4.0,17.27749999999998,0.38,24,78000,29800,1,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
7.0,18.39,0.38,23,78000,29800,1,3,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
6.0,15.23,0.33,23,92004,29800,1,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
7.0,10.65,0.31,23,97000,29800,1,2,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
9.0,7.9,0.25,25,120000,29800,0,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
4.0,15.96,0.04,26,225000,10000,0,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
0.0,11.48,0.07,26,225000,20000,0,3,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
3.0,11.73796666666667,0.13,23,225000,29800,0,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
9.0,7.29,0.23,25,128000,29800,0,4,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2.0,12.017100000000001,0.15,24,14400,1750,0,3,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
0.0,5.99,0.23,21,131000,29800,0,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
6.0,11.58,0.04,22,225000,12000,0,2,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
0.0,14.739700000000003,0.04,26,225000,10000,1,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
9.0,15.7,0.1,25,221850,25000,1,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
6.0,15.99,0.42,22,70000,29100,1,3,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
7.0,14.84,0.13,22,14400,1500,0,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
10.0,10.99,0.11,26,225000,28000,0,3,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
9.0,14.42,0.08,25,225000,20000,0,2,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
9.0,6.99,0.04,24,225000,9600,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.0,13.49,0.1,25,225000,25000,0,4,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
0.0,10.488850000000006,0.25,25,14400,3000,1,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
6.0,14.054200000000002,0.49,22,56950,28000,1,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
6.0,13.61,0.25,21,14400,3000,1,3,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
2.0,7.9,0.43,23,65000,28000,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
2.0,7.49,0.33,26,85000,28000,1,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2.0,7.51,0.5,26,14400,6100,1,3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
6.0,9.91,0.32,22,88000,28000,1,3,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
0.0,13.48,0.35,21,14400,4200,1,4,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True
6.0,7.14,0.4,22,14400,4750,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,15.99,0.34,24,83004,28000,1,4,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
2.0,12.98,0.07,24,225000,18000,0,3,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
4.0,13.57,0.02,50,225000,4800,0,3,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
5.0,12.69,0.28,25,100000,28000,0,3,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10.0,8.9,0.25,26,110000,28000,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
0.0,12.120799999999997,0.23,26,14400,2700,1,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6.0,14.941600000000001,0.26,22,108000,28000,1,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
7.0,11.11,0.19,23,151200,28000,0,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
2.0,13.901900000000005,0.4,24,69000,27600,1,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
5.0,15.68,0.27,21,14400,3250,1,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
4.0,13.06,0.39,22,70000,27500,1,3,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
6.0,14.923300000000006,0.1,22,225000,25000,0,2,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
5.0,15.62,0.37,26,73200,27050,1,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
5.0,13.49,0.33,24,83000,27000,1,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
0.0,14.896199999999983,0.37,24,73399,27000,1,3,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
7.0,11.71,0.42,23,62500,26000,1,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
1.0,12.69,0.21,23,120000,25600,0,3,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
2.0,13.57,0.13,24,14400,1600,0,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
0.0,10.99,0.42,22,60000,25475,1,3,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
3.0,14.27,0.09,25,225000,20000,0,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
8.0,8.88,0.09,24,225000,20000,0,4,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
10.0,12.18,0.09,26,225000,21600,0,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
6.0,14.42,0.05,25,221004,11900,1,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,14.17,0.11,26,225000,25000,0,2,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
5.0,13.99,0.15,25,225000,29800,0,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7.0,10.99,0.3,23,83000,25300,1,3,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
2.3,5.42,0.16,22,14400,2000,1,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,13.61,0.14,25,14400,1750,0,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
3.0,12.73,0.5,21,42500,25000,1,3,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
2.0,14.398999999999992,0.5,24,41000,25000,1,3,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
0.0,12.87,0.23,25,14400,3000,1,4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
1.0,9.91,0.28,24,14400,3650,1,3,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
4.0,11.49,0.09,26,225000,20000,0,4,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.0,18.39,0.13,25,225000,29800,0,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
6.0,10.65,0.16,26,213000,29800,1,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.0,9.449699999999998,0.03,24,225000,6000,0,4,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
0.0,11.83,0.35,24,14400,4500,1,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0,13.49,0.18,23,14400,2400,1,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
6.0,14.59,0.5,22,42000,25000,1,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
2.0,9.64,0.5,26,48000,25000,1,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
1.0,14.59,0.28,25,14400,3600,1,3,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
1.0,11.3601,0.37,22,14400,4750,1,3,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
1.0,16.35,0.5,25,42360,25000,1,3,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True
4.0,10.99,0.5,21,49000,25000,1,2,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
0.0,18.39,0.11,25,225000,25000,0,2,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1.0,9.32,0.02,26,225000,3000,0,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
8.0,8.63,0.03,23,225000,7500,0,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2.0,10.08,0.11,26,225000,25000,0,2,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
5.0,11.83,0.5,22,49464,25000,1,3,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
1.0,7.9,0.5,23,50000,25000,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4.0,5.99,0.5,25,50000,25000,1,2,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
2.0,15.33,0.5,24,44000,25000,1,2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1.0,11.83,0.5,23,50000,25000,1,4,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
0.0,10.36,0.5,22,50004,25000,1,2,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
3.0,12.23,0.5,22,50004,25000,1,3,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
2.0,11.11,0.48,22,52000,25000,1,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
3.0,7.9,0.38,23,14400,4950,1,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,11.58,0.11,24,220000,25000,0,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
5.0,8.9,0.1,23,216000,21000,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,16.07,0.12,25,216000,25000,0,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
10.0,14.22,0.09,26,216000,20000,0,2,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
7.0,14.79,0.16,23,215000,29800,0,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
11.0,7.88,0.06,26,215000,12000,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1.0,13.22,0.48,23,52000,25000,1,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
2.0,11.86,0.5,26,46000,25000,1,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
5.0,13.43,0.47,22,53000,25000,1,4,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
0.0,15.28,0.5,26,47000,25000,1,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
1.0,17.93,0.5,23,47000,25000,1,2,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
2.0,9.25,0.11,23,14400,1400,0,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0.0,12.98,0.34,21,14400,4500,1,4,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
6.0,10.62,0.08,22,210000,16000,0,4,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
10.0,11.83,0.1,26,210000,22000,0,4,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
5.0,18.39,0.5,26,48000,25000,1,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
6.0,14.503737500000007,0.45,22,54996,25000,1,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
4.0,13.49476250000001,0.45,24,55000,25000,1,4,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
4.0,11.36,0.45,23,55000,25000,1,3,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
4.0,15.65,0.45,23,55000,25000,1,3,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
8.0,13.22,0.45,24,55164,25000,1,4,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True
4.0,12.87,0.45,26,56000,25000,1,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
8.0,13.04,0.1,24,203500,20000,0,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
5.0,17.58,0.12,23,190000,22000,1,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
2.0,17.04,0.5,23,14400,7750,1,4,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0.0,10.99,0.42,24,60000,25000,1,3,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
2.0,11.11,0.42,24,60000,25000,1,3,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
7.0,14.83,0.46,26,54000,25000,1,2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
2.0,9.054766666666671,0.29,23,14400,4000,1,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
8.0,12.69,0.06,24,200000,12000,0,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8.0,13.49,0.06,24,200000,12000,0,2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
5.0,14.65,0.08,21,200000,16000,0,4,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
3.0,16.82,0.46,25,54000,25000,1,4,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
3.0,12.73,0.42,23,60000,25000,1,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
7.0,10.25,0.42,23,60000,25000,1,4,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False
6.0,10.99,0.42,21,60000,25000,1,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
9.0,12.73,0.4,25,61959,25000,1,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
2.0,14.96,0.44,22,56400,25000,1,3,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
7.0,12.143499999999994,0.14,23,200000,28000,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2.0,13.99,0.13,21,200000,25000,0,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3.0,7.49,0.12,24,200000,24000,0,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4.0,14.79,0.07,26,200000,15000,0,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2.0,11.99,0.08,25,200000,15500,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8.0,8.49,0.05,24,200000,10000,0,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
3.0,9.91,0.38,24,66000,25000,1,2,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
6.0,13.06,0.38,22,66000,25000,1,3,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True
6.0,6.17,0.04,22,200000,9000,0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,11.86,0.03,50,200000,6000,0,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
5.0,16.32,0.09,25,200000,18000,0,3,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2.0,10.38,0.06,25,200000,12000,0,2,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
9.0,14.35,0.12,25,200000,23050,0,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8.0,11.9624,0.1,24,200000,20000,0,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,11.407235,0.42,24,60000,25000,1,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
0.0,11.36101666666666,0.21,21,14400,3000,1,4,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
10.0,15.21,0.37,26,66996,25000,1,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
3.0,7.9,0.37,23,67000,25000,1,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
2.0,10.99,0.37,24,67000,25000,1,3,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
5.0,14.09,0.37,24,68000,25000,1,3,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
9.0,17.49,0.36,25,69000,25000,1,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
0.0,11.48,0.06,25,200000,12000,0,3,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
10.0,17.74,0.11,26,188000,20000,1,2,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
4.0,13.92,0.02,26,200000,3000,0,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
9.0,15.21,0.36,25,69996,25000,1,3,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False
2.0,10.99,0.28,22,14400,4000,1,3,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,11.86,0.36,24,70000,25000,1,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
5.0,7.49,0.42,24,14400,6000,1,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
7.0,16.49,0.38,24,56100,25000,1,4,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
9.0,15.33,0.38,25,66000,25000,1,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
3.0,11.58,0.38,26,66000,25000,1,4,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
7.0,5.79,0.37,25,14400,5375,1,2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
9.0,13.11,0.34,25,72612,25000,1,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
3.0,10.36,0.34,23,74000,25000,1,3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
9.0,10.36,0.33,25,75000,25000,1,2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
0.0,12.232200000000011,0.11,24,192000,22000,0,2,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
17.0,6.54,0.1,21,192000,20000,0,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1.0,12.53,0.05,25,191000,10000,0,4,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
5.0,12.699899999999989,0.08,26,190300,15000,0,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,9.38699999999999,0.05,22,190000,10000,0,3,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
4.0,10.25,0.33,24,75000,25000,1,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
1.0,15.95,0.35,22,71000,25000,1,4,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True
3.0,12.18,0.11,26,190000,20000,0,4,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
0.0,11.83,0.13,23,189996,24000,0,3,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
7.0,14.929936666666656,0.32,23,78000,25000,1,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
1.0,10.62,0.32,23,78000,25000,1,3,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
7.0,10.74,0.32,23,78504,25000,1,3,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
9.0,10.25,0.05,25,186000,10000,0,4,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
6.09,12.42,0.19,24,185000,29800,0,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
6.0,15.27,0.08,25,185000,15000,0,2,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
8.0,15.33,0.34,24,62050,25000,1,2,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
7.0,15.21,0.31,23,79416,25000,1,2,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
4.0,14.72,0.43,21,14400,6250,1,2,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
8.0,15.7,0.31,24,79631,25000,1,2,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
0.0,13.35,0.31,24,79632,25000,1,4,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False
0.0,10.427800000000005,0.1,21,14400,1500,0,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
6.0,6.62,0.31,24,80000,25000,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
5.0,13.61,0.31,26,80000,25000,1,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
4.0,11.36,0.14,22,185000,25000,0,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
10.0,7.68,0.03,26,185000,5000,0,2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
7.0,14.46,0.12,24,184992,22000,0,4,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True
5.0,11.83,0.02,23,184000,2500,0,2,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
6.0,13.47,0.12,24,172000,20000,1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2.0,11.49,0.11,24,183000,20000,0,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
3.0,9.541000000000002,0.02,22,183000,1000,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9.0,6.03,0.08,25,182952,15000,0,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7.0,16.35,0.34,23,74004,25000,1,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
10.0,14.376299999999999,0.34,26,74004,25000,1,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
5.0,7.29,0.31,25,81000,25000,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1.0,11.36,0.31,23,81600,25000,1,3,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False
8.0,10.25,0.3,24,82000,25000,0,2,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False
5.0,11.12,0.3,24,83000,25000,0,3,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False
5.0,12.92,0.3,24,83000,25000,0,3,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True
